"node3","cause","cause_value","kappa","necessity","sufficiency","A","B","E","structure","trial_id","pgroup","trialtype","node2","ns_kappa","ns_product","ns_average","ns_necessity_only","ns_sufficiency_only"
"B=0","B",0,0.54,0.08,1,1,0,0,"conjunctive","2_c3",2,"c3","B",0.54,0.08,0.54,0.08,1
"B=1","B",1,0.04,0,0.08,1,0,0,"conjunctive","2_c3",2,"c3","B",0.04,0,0.04,0,0.08
"Au=0","Au",0,0.9,0,1,1,0,0,"conjunctive","2_c3",2,"c3","Au",0.9,0,0.5,0,1
"Au=1","Au",1,0,0,0,1,0,0,"conjunctive","2_c3",2,"c3","Au",0,0,0,0,0
"Bu=0","Bu",0,0.2,0,1,1,0,0,"conjunctive","2_c3",2,"c3","Bu",0.2,0,0.5,0,1
"Bu=1","Bu",1,0,0,0,1,0,0,"conjunctive","2_c3",2,"c3","Bu",0,0,0,0,0
"A=0","A",0,0.5,0,1,1,1,0,"conjunctive","2_c4",2,"c4","A",0.5,0,0.5,0,1
"A=1","A",1,0,0,0,1,1,0,"conjunctive","2_c4",2,"c4","A",0,0,0,0,0
"B=0","B",0,0.5,0,1,1,1,0,"conjunctive","2_c4",2,"c4","B",0.5,0,0.5,0,1
"B=1","B",1,0,0,0,1,1,0,"conjunctive","2_c4",2,"c4","B",0,0,0,0,0
"Au=0","Au",0,0.978260869565217,0.782608695652174,1,1,1,0,"conjunctive","2_c4",2,"c4","Au",0.978260869565217,0.782608695652174,0.891304347826087,0.782608695652174,1
"Au=1","Au",1,0.0782608695652174,0,0.782608695652174,1,1,0,"conjunctive","2_c4",2,"c4","Au",0.0782608695652174,0,0.391304347826087,0,0.782608695652174
"Bu=0","Bu",0,0.217391304347826,0.0217391304347826,1,1,1,0,"conjunctive","2_c4",2,"c4","Bu",0.217391304347826,0.0217391304347826,0.510869565217391,0.0217391304347826,1
"Bu=1","Bu",1,0.0173913043478261,0,0.0217391304347826,1,1,0,"conjunctive","2_c4",2,"c4","Bu",0.0173913043478261,0,0.0108695652173913,0,0.0217391304347826
"A=0","A",0,0.5,0,1,1,1,1,"conjunctive","2_c5",2,"c5","A",0.5,0,0.5,0,1
"A=1","A",1,1,1,1,1,1,1,"conjunctive","2_c5",2,"c5","A",1,1,1,1,1
"B=0","B",0,0.5,0,1,1,1,1,"conjunctive","2_c5",2,"c5","B",0.5,0,0.5,0,1
"B=1","B",1,1,1,1,1,1,1,"conjunctive","2_c5",2,"c5","B",1,1,1,1,1
"Au=0","Au",0,0.9,0,1,1,1,1,"conjunctive","2_c5",2,"c5","Au",0.9,0,0.5,0,1
"Au=1","Au",1,1,1,1,1,1,1,"conjunctive","2_c5",2,"c5","Au",1,1,1,1,1
"Bu=0","Bu",0,0.2,0,1,1,1,1,"conjunctive","2_c5",2,"c5","Bu",0.2,0,0.5,0,1
"Bu=1","Bu",1,1,1,1,1,1,1,"conjunctive","2_c5",2,"c5","Bu",1,1,1,1,1
"A=0","A",0,0.55,0.1,1,0,0,0,"disjunctive","2_d1",2,"d1","A",0.55,0.1,0.55,0.1,1
"A=1","A",1,0.05,0,0.1,0,0,0,"disjunctive","2_d1",2,"d1","A",0.05,0,0.05,0,0.1
"B=0","B",0,0.9,0.8,1,0,0,0,"disjunctive","2_d1",2,"d1","B",0.9,0.8,0.9,0.8,1
"B=1","B",1,0.4,0,0.8,0,0,0,"disjunctive","2_d1",2,"d1","B",0.4,0,0.4,0,0.8
"Au=0","Au",0,0.9,0,1,0,0,0,"disjunctive","2_d1",2,"d1","Au",0.9,0,0.5,0,1
"Au=1","Au",1,0,0,0,0,0,0,"disjunctive","2_d1",2,"d1","Au",0,0,0,0,0
"Bu=0","Bu",0,0.2,0,1,0,0,0,"disjunctive","2_d1",2,"d1","Bu",0.2,0,0.5,0,1
"Bu=1","Bu",1,0,0,0,0,0,0,"disjunctive","2_d1",2,"d1","Bu",0,0,0,0,0
"A=0","A",0,0.55,0.1,1,0,1,0,"disjunctive","2_d2",2,"d2","A",0.55,0.1,0.55,0.1,1
"A=1","A",1,0.05,0,0.1,0,1,0,"disjunctive","2_d2",2,"d2","A",0.05,0,0.05,0,0.1
"B=0","B",0,0.5,0,1,0,1,0,"disjunctive","2_d2",2,"d2","B",0.5,0,0.5,0,1
"B=1","B",1,0,0,0,0,1,0,"disjunctive","2_d2",2,"d2","B",0,0,0,0,0
"Au=0","Au",0,0.9,0,1,0,1,0,"disjunctive","2_d2",2,"d2","Au",0.9,0,0.5,0,1
"Au=1","Au",1,0,0,0,0,1,0,"disjunctive","2_d2",2,"d2","Au",0,0,0,0,0
"Bu=0","Bu",0,1,1,1,0,1,0,"disjunctive","2_d2",2,"d2","Bu",1,1,1,1,1
"Bu=1","Bu",1,0.8,0,1,0,1,0,"disjunctive","2_d2",2,"d2","Bu",0.8,0,0.5,0,1
"A=0","A",0,0,0,0,0,1,1,"disjunctive","2_d3",2,"d3","A",0,0,0,0,0
"A=1","A",1,0.05,0,0.1,0,1,1,"disjunctive","2_d3",2,"d3","A",0.05,0,0.05,0,0.1
"B=0","B",0,0.5,0,1,0,1,1,"disjunctive","2_d3",2,"d3","B",0.5,0,0.5,0,1
"B=1","B",1,1,1,1,0,1,1,"disjunctive","2_d3",2,"d3","B",1,1,1,1,1
"Au=0","Au",0,0,0,0,0,1,1,"disjunctive","2_d3",2,"d3","Au",0,0,0,0,0
"Au=1","Au",1,0,0,0,0,1,1,"disjunctive","2_d3",2,"d3","Au",0,0,0,0,0
"Bu=0","Bu",0,0.2,0,1,0,1,1,"disjunctive","2_d3",2,"d3","Bu",0.2,0,0.5,0,1
"Bu=1","Bu",1,1,1,1,0,1,1,"disjunctive","2_d3",2,"d3","Bu",1,1,1,1,1
"A=0","A",0,0.5,0,1,1,0,0,"disjunctive","2_d4",2,"d4","A",0.5,0,0.5,0,1
"A=1","A",1,0,0,0,1,0,0,"disjunctive","2_d4",2,"d4","A",0,0,0,0,0
"B=0","B",0,0.9,0.8,1,1,0,0,"disjunctive","2_d4",2,"d4","B",0.9,0.8,0.9,0.8,1
"B=1","B",1,0.4,0,0.8,1,0,0,"disjunctive","2_d4",2,"d4","B",0.4,0,0.4,0,0.8
"Au=0","Au",0,1,1,1,1,0,0,"disjunctive","2_d4",2,"d4","Au",1,1,1,1,1
"Au=1","Au",1,0.1,0,1,1,0,0,"disjunctive","2_d4",2,"d4","Au",0.1,0,0.5,0,1
"Bu=0","Bu",0,0.2,0,1,1,0,0,"disjunctive","2_d4",2,"d4","Bu",0.2,0,0.5,0,1
"Bu=1","Bu",1,0,0,0,1,0,0,"disjunctive","2_d4",2,"d4","Bu",0,0,0,0,0
"A=0","A",0,0.5,0,1,1,0,1,"disjunctive","2_d5",2,"d5","A",0.5,0,0.5,0,1
"A=1","A",1,1,1,1,1,0,1,"disjunctive","2_d5",2,"d5","A",1,1,1,1,1
"B=0","B",0,0,0,0,1,0,1,"disjunctive","2_d5",2,"d5","B",0,0,0,0,0
"B=1","B",1,0.4,0,0.8,1,0,1,"disjunctive","2_d5",2,"d5","B",0.4,0,0.4,0,0.8
"Au=0","Au",0,0.9,0,1,1,0,1,"disjunctive","2_d5",2,"d5","Au",0.9,0,0.5,0,1
"Au=1","Au",1,1,1,1,1,0,1,"disjunctive","2_d5",2,"d5","Au",1,1,1,1,1
"Bu=0","Bu",0,0,0,0,1,0,1,"disjunctive","2_d5",2,"d5","Bu",0,0,0,0,0
"Bu=1","Bu",1,0,0,0,1,0,1,"disjunctive","2_d5",2,"d5","Bu",0,0,0,0,0
"A=0","A",0,0.5,0,1,1,1,0,"disjunctive","2_d6",2,"d6","A",0.5,0,0.5,0,1
"A=1","A",1,0,0,0,1,1,0,"disjunctive","2_d6",2,"d6","A",0,0,0,0,0
"B=0","B",0,0.5,0,1,1,1,0,"disjunctive","2_d6",2,"d6","B",0.5,0,0.5,0,1
"B=1","B",1,0,0,0,1,1,0,"disjunctive","2_d6",2,"d6","B",0,0,0,0,0
"Au=0","Au",0,1,1,1,1,1,0,"disjunctive","2_d6",2,"d6","Au",1,1,1,1,1
"Au=1","Au",1,0.1,0,1,1,1,0,"disjunctive","2_d6",2,"d6","Au",0.1,0,0.5,0,1
"Bu=0","Bu",0,1,1,1,1,1,0,"disjunctive","2_d6",2,"d6","Bu",1,1,1,1,1
"Bu=1","Bu",1,0.8,0,1,1,1,0,"disjunctive","2_d6",2,"d6","Bu",0.8,0,0.5,0,1
"A=0","A",0,0.0121951219512195,0,0.024390243902439,1,1,1,"disjunctive","2_d7",2,"d7","A",0.0121951219512195,0,0.0121951219512195,0,0.024390243902439
"A=1","A",1,0.0731707317073171,0.024390243902439,0.121951219512195,1,1,1,"disjunctive","2_d7",2,"d7","A",0.0731707317073171,0.00297441998810232,0.0731707317073171,0.024390243902439,0.121951219512195
"B=0","B",0,0.439024390243902,0,0.878048780487805,1,1,1,"disjunctive","2_d7",2,"d7","B",0.439024390243902,0,0.439024390243902,0,0.878048780487805
"B=1","B",1,0.926829268292683,0.878048780487805,0.975609756097561,1,1,1,"disjunctive","2_d7",2,"d7","B",0.926829268292683,0.856632956573468,0.926829268292683,0.878048780487805,0.975609756097561
"Au=0","Au",0,0.0219512195121951,0,0.024390243902439,1,1,1,"disjunctive","2_d7",2,"d7","Au",0.0219512195121951,0,0.0121951219512195,0,0.024390243902439
"Au=1","Au",1,0.121951219512195,0.024390243902439,1,1,1,1,"disjunctive","2_d7",2,"d7","Au",0.121951219512195,0.024390243902439,0.51219512195122,0.024390243902439,1
"Bu=0","Bu",0,0.175609756097561,0,0.878048780487805,1,1,1,"disjunctive","2_d7",2,"d7","Bu",0.175609756097561,0,0.439024390243902,0,0.878048780487805
"Bu=1","Bu",1,0.975609756097561,0.878048780487805,1,1,1,1,"disjunctive","2_d7",2,"d7","Bu",0.975609756097561,0.878048780487805,0.939024390243902,0.878048780487805,1
"A=0","A",0,0.9,0,1,0,0,0,"conjunctive","3_c1",3,"c1","A",0.9,0,0.5,0,1
"A=1","A",1,0,0,0,0,0,0,"conjunctive","3_c1",3,"c1","A",0,0,0,0,0
"B=0","B",0,0.2,0,1,0,0,0,"conjunctive","3_c1",3,"c1","B",0.2,0,0.5,0,1
"B=1","B",1,0,0,0,0,0,0,"conjunctive","3_c1",3,"c1","B",0,0,0,0,0
"Au=0","Au",0,0.3,0,1,0,0,0,"conjunctive","3_c1",3,"c1","Au",0.3,0,0.5,0,1
"Au=1","Au",1,0,0,0,0,0,0,"conjunctive","3_c1",3,"c1","Au",0,0,0,0,0
"Bu=0","Bu",0,0.5,0,1,0,0,0,"conjunctive","3_c1",3,"c1","Bu",0.5,0,0.5,0,1
"Bu=1","Bu",1,0,0,0,0,0,0,"conjunctive","3_c1",3,"c1","Bu",0,0,0,0,0
"A=0","A",0,0.935,0.35,1,0,1,0,"conjunctive","3_c2",3,"c2","A",0.935,0.35,0.675,0.35,1
"A=1","A",1,0.035,0,0.35,0,1,0,"conjunctive","3_c2",3,"c2","A",0.035,0,0.175,0,0.35
"B=0","B",0,0.2,0,1,0,1,0,"conjunctive","3_c2",3,"c2","B",0.2,0,0.5,0,1
"B=1","B",1,0,0,0,0,1,0,"conjunctive","3_c2",3,"c2","B",0,0,0,0,0
"Au=0","Au",0,0.3,0,1,0,1,0,"conjunctive","3_c2",3,"c2","Au",0.3,0,0.5,0,1
"Au=1","Au",1,0,0,0,0,1,0,"conjunctive","3_c2",3,"c2","Au",0,0,0,0,0
"Bu=0","Bu",0,0.5,0,1,0,1,0,"conjunctive","3_c2",3,"c2","Bu",0.5,0,0.5,0,1
"Bu=1","Bu",1,0,0,0,0,1,0,"conjunctive","3_c2",3,"c2","Bu",0,0,0,0,0
"A=0","A",0,0.9,0,1,1,0,0,"conjunctive","3_c3",3,"c3","A",0.9,0,0.5,0,1
"A=1","A",1,0,0,0,1,0,0,"conjunctive","3_c3",3,"c3","A",0,0,0,0,0
"B=0","B",0,0.48,0.35,1,1,0,0,"conjunctive","3_c3",3,"c3","B",0.48,0.35,0.675,0.35,1
"B=1","B",1,0.28,0,0.35,1,0,0,"conjunctive","3_c3",3,"c3","B",0.28,0,0.175,0,0.35
