"trial_id","pgroup","trialtype","node3","n","prop","ig","baseline","ns_kappa_full","ns_product_full","ns_average_full","ns_necessity_full","ns_sufficiency_full","ns_kappa_noAct","ns_product_noAct","ns_average_noAct","ns_necessity_noAct","ns_sufficiency_noAct","Actual_ns","A","B","E","Include","Observed","Known"
"1_c5","1","c5","Bu=1",15,0.263157894736842,0.5,0.125,1,1,1,1,1,1,1,1,1,1,TRUE,1,1,1,TRUE,FALSE,TRUE
"1_d1","1","d1","A=0",16,0.205128205128205,0,0.125,0.95,0.5,0.75,0.5,1,0.95,0.5,0.75,0.5,1,TRUE,0,0,0,TRUE,TRUE,TRUE
"1_d1","1","d1","A=1",1,0.0128205128205128,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,0,0,0,FALSE,TRUE,FALSE
"1_d1","1","d1","Au=0",2,0.0256410256410256,0,0.125,0.5,0,0.5,0,1,0.5,0,0.5,0,1,TRUE,0,0,0,TRUE,FALSE,FALSE
"1_d1","1","d1","Au=1",4,0.0512820512820513,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,0,0,0,TRUE,FALSE,FALSE
"1_d1","1","d1","B=0",36,0.461538461538462,0,0.125,0.6,0.5,0.75,0.5,1,0.6,0.5,0.75,0.5,1,TRUE,0,0,0,TRUE,TRUE,TRUE
"1_d1","1","d1","B=1",4,0.0512820512820513,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,0,0,0,FALSE,TRUE,FALSE
"1_d1","1","d1","Bu=0",11,0.141025641025641,0,0.125,0.5,0,0.5,0,1,0.5,0,0.5,0,1,TRUE,0,0,0,TRUE,FALSE,FALSE
"1_d1","1","d1","Bu=1",4,0.0512820512820513,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,0,0,0,TRUE,FALSE,FALSE
"1_d2","1","d2","A=0",13,0.178082191780822,0,0.125,0.95,0.5,0.75,0.5,1,0.95,0.5,0.75,0.5,1,TRUE,0,1,0,TRUE,TRUE,TRUE
"1_d2","1","d2","A=1",1,0.0136986301369863,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,0,1,0,FALSE,TRUE,FALSE
"1_d2","1","d2","Au=0",3,0.0410958904109589,0,0.125,0.5,0,0.5,0,1,0.5,0,0.5,0,1,TRUE,0,1,0,TRUE,FALSE,FALSE
"1_d2","1","d2","Au=1",2,0.0273972602739726,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,0,1,0,TRUE,FALSE,FALSE
"1_d2","1","d2","B=0",6,0.0821917808219178,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,TRUE,0,1,0,FALSE,TRUE,TRUE
"1_d2","1","d2","B=1",13,0.178082191780822,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,0,1,0,TRUE,TRUE,FALSE
"1_d2","1","d2","Bu=0",28,0.383561643835616,0.5,0.125,1,1,1,1,1,1,1,1,1,1,TRUE,0,1,0,TRUE,FALSE,TRUE
"1_d2","1","d2","Bu=1",7,0.0958904109589041,0.5,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0.5,0,0.5,0,1,FALSE,0,1,0,TRUE,FALSE,FALSE
"1_d3","1","d3","A=0",3,0.0434782608695652,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,0,1,1,TRUE,TRUE,FALSE
"1_d3","1","d3","A=1",5,0.072463768115942,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,TRUE,0,1,1,FALSE,TRUE,TRUE
"1_d3","1","d3","Au=0",3,0.0434782608695652,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,0,1,1,TRUE,FALSE,FALSE
"1_d3","1","d3","Au=1",2,0.0289855072463768,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,0,1,1,TRUE,FALSE,FALSE
"1_d3","1","d3","B=0",1,0.0144927536231884,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,0,1,1,FALSE,TRUE,FALSE
"1_d3","1","d3","B=1",9,0.130434782608696,0,0.125,1,1,1,1,1,1,1,1,1,1,TRUE,0,1,1,TRUE,TRUE,TRUE
"1_d3","1","d3","Bu=0",1,0.0144927536231884,0.5,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0.5,0,0.5,0,1,FALSE,0,1,1,TRUE,FALSE,FALSE
"1_d3","1","d3","Bu=1",45,0.652173913043478,0.5,0.125,1,1,1,1,1,1,1,1,1,1,TRUE,0,1,1,TRUE,FALSE,TRUE
